"id","curso","bloque","criterio","estandar","prioridad"
"3111","3","Bloque 1: Procesos, métodos y actitudes matemáticas","1.    Expresar verbalmente, de forma razonada, el proceso seguido en la resolución de un problema. ","1.1      Expresa verbalmente, de forma razonada, el proceso seguido en la resolución de un problema, con el rigor y la precisión adecuados.",
"3121","3","Bloque 1: Procesos, métodos y actitudes matemáticas","2.    Utilizar procesos de razonamiento y estrategias de resolución de problemas, realizando los cálculos necesarios y comprobando las soluciones obtenidas.","2.1.    Analiza y comprende el enunciado de los problemas (datos necesarios, datos superfluos, relaciones entre los datos, contexto del problema) y lo relaciona con el número de soluciones. ",
"3122","3","Bloque 1: Procesos, métodos y actitudes matemáticas","2.    Utilizar procesos de razonamiento y estrategias de resolución de problemas, realizando los cálculos necesarios y comprobando las soluciones obtenidas.","2.2.    Realiza estimaciones y elabora conjeturas sobre los resultados de los problemas a resolver, valorando la utilidad y eficacia de este proceso.",
"3123","3","Bloque 1: Procesos, métodos y actitudes matemáticas","2.    Utilizar procesos de razonamiento y estrategias de resolución de problemas, realizando los cálculos necesarios y comprobando las soluciones obtenidas.","2.3.    Utiliza estrategias heurísticas y procesos de razonamiento en la resolución de problemas, reflexionando sobre dicho proceso.",
"3131","3","Bloque 1: Procesos, métodos y actitudes matemáticas","3.    Encontrar patrones, regularidades y leyes matemáticas, en contextos numéricos, geométricos, funcionales, estadísticos y probabilísticos,  valorando su utilidad para hacer predicciones","3.1.    Identifica patrones, regularidades y leyes matemáticas, en contextos numéricos, geométricos, funcionales, estadísticos y probabilísticos",
"3132","3","Bloque 1: Procesos, métodos y actitudes matemáticas","3.    Encontrar patrones, regularidades y leyes matemáticas, en contextos numéricos, geométricos, funcionales, estadísticos y probabilísticos,  valorando su utilidad para hacer predicciones","3.2.    Utiliza las leyes matemáticas encontradas para realizar simulaciones y predicciones sobre los resultados esperables, valorando su eficacia e idoneidad.",
"3141","3","Bloque 1: Procesos, métodos y actitudes matemáticas","4.    Profundizar en problemas resueltos planteando pequeñas variaciones en los datos, otras preguntas, otros contextos, otra resolución y casos particulares o generales.","4.1.    Profundiza en los problemas una vez resueltos, revisando el proceso de resolución y los pasos e ideas importantes, analizando la coherencia de la solución o buscando otras formas de resolución.",
"3142","3","Bloque 1: Procesos, métodos y actitudes matemáticas","4.    Profundizar en problemas resueltos planteando pequeñas variaciones en los datos, otras preguntas, otros contextos, otra resolución y casos particulares o generales.","4.2.    Plantea nuevos problemas, a partir de uno resuelto, variando los datos, proponiendo nuevas preguntas, resolviendo otros problemas parecidos, planteando casos particulares o más generales de interés, estableciendo conexiones entre el problema y la ",
"3151","3","Bloque 1: Procesos, métodos y actitudes matemáticas","5.    Elaborar y presentar informes sobre el proceso, resultados y conclusiones obtenidas en los procesos de investigación.","5.1.    Expone y defiende el proceso seguido además de las conclusiones obtenidas, utilizando distintos lenguajes: algebraico, gráfico, geométrico, estadístico y probabilístico.",
"3161","3","Bloque 1: Procesos, métodos y actitudes matemáticas","6.    Desarrollar procesos de modelización matemática (numéricos, geométricos, funcionales, estadísticos y probabilísticos) a partir de problemas de la realidad cotidiana y valorar estos recursos para resolver problemas, evaluando la eficacia y limitación","6.1.    Establece conexiones entre un problema del mundo real y el matemático: identificando el problema o problemas matemáticos que subyacen en él y utilizando los conocimientos matemáticos necesarios.",
"3162","3","Bloque 1: Procesos, métodos y actitudes matemáticas","6.    Desarrollar procesos de modelización matemática (numéricos, geométricos, funcionales, estadísticos y probabilísticos) a partir de problemas de la realidad cotidiana y valorar estos recursos para resolver problemas, evaluando la eficacia y limitación","6.2.    Usa, elabora o construye modelos matemáticos sencillos que permitan la resolución de un problema o problemas.",
"3163","3","Bloque 1: Procesos, métodos y actitudes matemáticas","6.    Desarrollar procesos de modelización matemática (numéricos, geométricos, funcionales, estadísticos y probabilísticos) a partir de problemas de la realidad cotidiana y valorar estos recursos para resolver problemas, evaluando la eficacia y limitación","6.3.    Interpreta la solución matemática del problema en el contexto del problema real.",
"3164","3","Bloque 1: Procesos, métodos y actitudes matemáticas","6.    Desarrollar procesos de modelización matemática (numéricos, geométricos, funcionales, estadísticos y probabilísticos) a partir de problemas de la realidad cotidiana y valorar estos recursos para resolver problemas, evaluando la eficacia y limitación","6.4.    Realiza simulaciones y predicciones, en el contexto real, para valorar la adecuación y las limitaciones de los modelos, proponiendo mejoras que aumenten su eficacia.",
"3171","3","Bloque 1: Procesos, métodos y actitudes matemáticas","7.    Desarrollar y cultivar las actitudes personales propias del trabajo matemático, superar bloqueos e inseguridades ante la resolución de situaciones desconocidas y reflexionar sobre las decisiones tomadas, aprendiendo de ello para contextos similares ","7.1.    Desarrolla actitudes adecuadas para el trabajo en matemáticas: esfuerzo, perseverancia, flexibilidad y aceptación de la crítica razonada.",
"3172","3","Bloque 1: Procesos, métodos y actitudes matemáticas","7.    Desarrollar y cultivar las actitudes personales propias del trabajo matemático, superar bloqueos e inseguridades ante la resolución de situaciones desconocidas y reflexionar sobre las decisiones tomadas, aprendiendo de ello para contextos similares ","7.2.    Distingue entre problemas y ejercicios y  adopta la actitud adecuada para cada caso.",
